Restaurant_Name,Rating (Out of 5),votes,cuisines,dish_liked,location,online_order,Sub-Type,Type
HSR SLV Fast Food,3.7,34,"South Indian, Fast Food",,HSR,Yes,Quick Bites,Delivery
Vinoth Kitchen,0,0,"South Indian, Kebab, Chinese, Biryani",,Bommanahalli,No,Quick Bites,Dine-out
The Mylapore Cafe,4.1,119,"South Indian, Kerala","Masala Dosa, Pongal, Filter Coffee, Tea, Idli",HSR,Yes,Quick Bites,Dine-out
Village Kitchen,0,0,"South Indian, Kerala, Chinese",,HSR,Yes,Quick Bites,Dine-out
FoodandSnack.com,3.3,8,"South Indian, North Indian",,Bommanahalli,No,Delivery,Delivery
Jagan's Hotel,0,0,"South Indian, North Indian",,HSR,No,Quick Bites,Delivery
Kolapasi Take away,0,0,"South Indian, North Indian",,HSR,No,Quick Bites,Delivery
Vrikshah Kitchens,0,0,"South Indian, North Indian",,HSR,No,"Takeaway, Delivery",Delivery
Dakshin Flavors,3.1,206,"South Indian, North Indian",,HSR,Yes,Casual Dining,Dine-out
Udupi Upahara,3.7,46,"South Indian, North Indian","Filter Coffee, Masala Dosa",Koramangala 1st Block,No,Quick Bites,Dine-out
Shri Madhuram,3.9,371,"South Indian, North Indian","Vada, Coffee, Breakfast Buffet, Thali, Idli, Onion Rava Masala Dosa, Pongal",HSR,No,Casual Dining,Buffet
Hunger Meals,3.9,152,"South Indian, North Indian, Biryani","Andhra Thali, Rice, Mango Dal, Salad, Chicken Meal, Aloo Matar, Chicken Curry",HSR,No,"Takeaway, Delivery",Delivery
Foodbook Restaurant,0,0,"South Indian, North Indian, Chinese",,Bommanahalli,No,Quick Bites,Dine-out
Night Fox,3.2,22,"South Indian, North Indian, Chinese",,Bommanahalli,Yes,"Takeaway, Delivery",Delivery
The Hyderbadi Chefs,3.4,4,"South Indian, North Indian, Chinese",,Electronic City,Yes,Quick Bites,Delivery
Arogya,3.4,9,"South Indian, North Indian, Chinese",,HSR,No,Quick Bites,Dine-out
Hotel Arogya,0,0,"South Indian, North Indian, Chinese",,HSR,No,Quick Bites,Dine-out
Shakar Maanes Kitchen,0,0,"South Indian, North Indian, Chinese",,HSR,No,Quick Bites,Dine-out
Dakshin Sagar,3.1,325,"South Indian, North Indian, Chinese, Street Food",,HSR,Yes,Quick Bites,Delivery
New Udupi Grand,3.7,36,"South Indian, North Indian, Chinese, Street Food",,HSR,Yes,Quick Bites,Delivery
The Rasaganga,3.9,163,"South Indian, North Indian, Chinese, Street Food","Coffee, Dahi Vada, Chaat",HSR,Yes,Quick Bites,Dine-out
Udupi Palace,3.7,446,"South Indian, North Indian, Chinese, Street Food","Idli, Plain Dosa, Neer Dosa, Masala Dosa, Thali, Uddin Vada",HSR,No,Quick Bites,Delivery
99 Variety Dose-Biryanis-Starters,0,0,"South Indian, North Indian, Fast Food, Chinese",,HSR,Yes,"Takeaway, Delivery",Delivery
Special Taste 99 Varieties Dosa,0,0,"South Indian, Street Food",,HSR,No,Food Court,Dine-out
